Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
83144,"The Bronze Horseman (The Bronze Horseman, #1)",Paullina Simons,"Simons, Paullina",,"=""0006513220""","=""9780006513223""",0,4.29,HarperCollins,Paperback,637,2001,2000,,2024/01/14,to-read,to-read (#4420),to-read,,,,0,0
191754348,"Rule of the Aurora King (Artefacts of Ouranos, #2)",Nisha J. Tuli,"Tuli, Nisha J.",,"=""1538767651""","=""9781538767658""",0,3.96,Forever,Paperback,512,2023,2023,,2024/01/14,to-read,to-read (#4418),to-read,,,,0,0
195436605,"Fate of the Sun King (Artefacts of Ouranos, #3)",Nisha J. Tuli,"Tuli, Nisha J.",,"=""1538767686""","=""9781538767689""",0,3.97,Forever,Kindle Edition,556,2024,2024,,2024/01/14,to-read,to-read (#4419),to-read,,,,0,0
157265081,"The Narrow Road Between Desires (The Kingkiller Chronicle, #0.6)",Patrick Rothfuss,"Rothfuss, Patrick",Nate Taylor,"=""0756419182""","=""9780756419189""",4,4.03,DAW,ebook,240,2023,2023,2024/01/14,2023/12/23,,,read,,,,1,0
1327173,The Thinking Body,Mabel Elsworth Todd,"Todd, Mabel Elsworth",,"=""0871270145""","=""9780871270146""",0,4.23,Princeton Book Company,Paperback,314,1980,1937,,2024/01/14,to-read,to-read (#4417),to-read,,,,0,0
46249012,"Bone Crier's Moon (Bone Grace, #1)",Kathryn Purdie,"Purdie, Kathryn",,"=""0062798774""","=""9780062798770""",0,3.64,Katherine Tegen Books,Hardcover,480,2020,2020,,2020/05/05,to-read,to-read (#1011),to-read,,,,0,0
123257687,"Assistant to the Villain (Assistant to the Villain, #1)",Hannah Nicole Maehrer,"Maehrer, Hannah Nicole",,"=""1649375808""","=""9781649375803""",3,3.93,Entangled Publishing: Red Tower Books,Paperback,342,2023,2023,2024/01/10,2023/08/29,,,read,,,,1,0
49374507,The Last Story of Mina Lee,Nancy Jooyoun Kim,"Kim, Nancy Jooyoun",,"=""0778310175""","=""9780778310174""",0,3.53,Park Row Books,Hardcover,384,2020,2020,,2024/01/09,to-read,to-read (#4416),to-read,,,,0,0
101144405,What We Kept to Ourselves,Nancy Jooyoun Kim,"Kim, Nancy Jooyoun",,"=""1668004828""","=""9781668004821""",0,3.46,Atria Books,Hardcover,416,2023,2023,,2024/01/09,to-read,to-read (#4415),to-read,,,,0,0
101145836,"Wildfire (Maple Hills, #2)",Hannah  Grace,"Grace, Hannah",,"=""1668026279""","=""9781668026274""",3,3.81,Atria,Paperback,387,2023,2023,2024/01/08,2023/09/06,,,read,,,,1,0
201855946,Shōgun (The Asian Saga),James Clavell,"Clavell, James",,"=""""","=""9798212173476""",0,4.41,"Blackstone Publishing, Inc.",Hardcover,1301,2023,1975,,2024/01/08,to-read,to-read (#4414),to-read,,,,0,0
176450395,Camp Zero,Michelle Min Sterling,"Sterling, Michelle Min",,"=""1668007576""","=""9781668007570""",0,3.21,Atria Books,Paperback,320,2024,2023,,2024/01/08,to-read,to-read (#4413),to-read,,,,0,0
36660100,If You Leave Me,Crystal Hana Kim,"Kim, Crystal Hana",,"=""006264520X""","=""9780062645203""",0,3.69,William Morrow,Kindle Edition,435,2018,2018,,2024/01/08,to-read,to-read (#4412),to-read,,,,0,0
133232094,"First Meet Foul (Central State Football, #1)",Jaqueline Snowe,"Snowe, Jaqueline",,"=""""","=""9798391452379""",0,3.67,Independently published,Paperback,346,2023,2023,,2024/01/08,to-read,to-read (#4411),to-read,,,,0,0
181109954,One Last Word,Suzanne Park,"Park, Suzanne",,"=""0063216094""","=""9780063216099""",0,3.22,Avon,Paperback,288,2024,,,2024/01/07,to-read,to-read (#4410),to-read,,,,0,0
139506555,A Lady's Guide to Selling Out,Sally Franson,"Franson, Sally",,"=""0063317729""","=""9780063317727""",0,3.12,Mariner Books,Paperback,288,2024,2018,,2024/01/04,to-read,to-read (#4409),to-read,,,,0,0
59512586,"Scarred (Never After, #2)",Emily McIntire,"McIntire, Emily",,"=""""","=""9798985138047""",0,3.85,,Kindle Edition,447,2022,2022,,2024/01/03,to-read,to-read (#4408),to-read,,,,0,0
56030239,"An Heir Comes to Rise (An Heir Comes to Rise, #1)",C.C. Peñaranda,"Peñaranda, C.C.",,"=""1838248013""","=""9781838248017""",0,3.76,Lumarias Press,Paperback,382,2021,2021,,2024/01/03,to-read,to-read (#4407),to-read,,,,0,0
112975105,The Little Liar,Mitch Albom,"Albom, Mitch",,"=""0062406655""","=""9780062406651""",0,4.56,Harper,Hardcover,333,2023,2023,,2024/01/03,to-read,to-read (#4406),to-read,,,,0,0
124045185,Bonfire Night,Anna  Bliss,"Bliss, Anna",,"=""1496747348""","=""9781496747341""",0,3.72,A John Scognamiglio Book,Paperback,368,2023,2023,,2024/01/01,to-read,to-read (#4405),to-read,,,,0,0
127305900,A Fragile Enchantment,Allison Saft,"Saft, Allison",,"=""125089283X""","=""9781250892836""",0,3.48,Wednesday Books,Hardcover,373,2024,2024,,2024/01/01,to-read,to-read (#4404),to-read,,,,0,0
127464148,The Djinn Waits a Hundred Years,Shubnum Khan,"Khan, Shubnum",,"=""0593653459""","=""9780593653456""",0,3.85,Viking,Hardcover,320,2024,2024,,2024/01/01,to-read,to-read (#4403),to-read,,,,0,0
145654473,The Cartographers,Amy    Zhang,"Zhang, Amy",,"=""0062383086""","=""9780062383082""",0,3.21,Greenwillow Books,Paperback,288,2024,2023,,2024/01/01,to-read,to-read (#4402),to-read,,,,0,0
178814969,Credence,Penelope Douglas,"Douglas, Penelope",,"=""0593641973""","=""9780593641972""",0,3.67,Berkley,Paperback,560,2024,2020,,2024/01/01,to-read,to-read (#4401),to-read,,,,0,0
180454020,The Sticky Note Manifesto of Aisha Agarwal,Ambika Vohra,"Vohra, Ambika",,"=""""","=""""",0,3.98,"Quill Tree Books, Harper Collins",Hardcover,,2024,2024,,2023/12/31,to-read,to-read (#4400),to-read,,,,0,0
43263680,"Ninth House (Alex Stern, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""1250313074""","=""9781250313072""",0,4.00,Flatiron Books,Hardcover,461,2019,2019,2023/12/31,2019/08/09,,,read,,,,1,0
127279986,"Hell Bent (Alex Stern, #2)",Leigh Bardugo,"Bardugo, Leigh",,"=""1250859441""","=""9781250859440""",0,4.11,Flatiron Books,Paperback,496,2024,2023,,2023/12/30,to-read,to-read (#4399),to-read,,,,0,0
10483171,The Beginning of Infinity: Explanations That Transform the World,David Deutsch,"Deutsch, David",,"=""0670022756""","=""9780670022755""",0,4.17,Viking,Hardcover,487,2011,2011,,2023/12/30,to-read,to-read (#4398),to-read,,,,0,0
28433708,Wired for Dating: How Understanding Neurobiology and Attachment Style Can Help You Find Your Ideal Mate,Stan Tatkin PsyD MFT,"MFT, Stan Tatkin PsyD","Harville Hendrix, Helen LaKelly Hunt","=""1626253056""","=""9781626253056""",0,3.80,New Harbinger Publications,Kindle Edition,212,2016,2016,,2023/12/30,to-read,to-read (#4397),to-read,,,,0,0
18505796,10% Happier,Dan   Harris,"Harris, Dan",,"=""0062265423""","=""9780062265425""",0,3.91,Dey Street Books,Hardcover,256,2014,2014,,2023/12/30,to-read,to-read (#4396),to-read,,,,0,0
65211701,"System Collapse (The Murderbot Diaries, #7)",Martha Wells,"Wells, Martha",,"=""1250826977""","=""9781250826978""",0,4.25,Tor Publishing Group/Tordotcom,Hardcover,245,2023,2023,,2023/12/30,to-read,to-read (#4395),to-read,,,,0,0
58340705,"The Blighted Stars (The Devoured Worlds, #1)",Megan E. O'Keefe,"O'Keefe, Megan E.",,"=""0316290793""","=""9780316290791""",0,4.09,Orbit,Paperback,491,2023,2023,,2023/12/30,to-read,to-read (#4394),to-read,,,,0,0
60822515,"Artfully Yours (Duke Undone, #3)",Joanna Lowell,"Lowell, Joanna",,"=""0593198328""","=""9780593198322""",0,3.65,Berkley,Paperback,322,2023,2023,,2023/12/30,to-read,to-read (#4393),to-read,,,,0,0
55384168,No Bad Parts: Healing Trauma and Restoring Wholeness with the Internal Family Systems Model,Richard C. Schwartz,"Schwartz, Richard C.",Alanis Morissette,"=""1683646681""","=""9781683646686""",0,4.11,St. Martin's Essentials / Sounds True,Paperback,216,2021,2021,,2023/12/29,to-read,to-read (#4392),to-read,,,,0,0
145624511,The Fetishist,Katherine Min,"Min, Katherine","Cathy Park Hong, Kayla Min Andrews","=""0593713656""","=""9780593713655""",0,3.66,G.P. Putnam's Sons,Hardcover,304,2024,2024,,2023/12/29,to-read,to-read (#4391),to-read,,,,0,0
145624973,F the Fairy Tale: Rewrite the Dating Myths and Live Your Own Love Story,Damona Hoffman,"Hoffman, Damona",,"=""1541602250""","=""9781541602250""",0,3.80,Seal Press,Hardcover,296,2024,,,2023/12/29,to-read,to-read (#4390),to-read,,,,0,0
